"journal_name","type","person","unified_name","role","degree","position","affiliation","person_reserved","role_unified","gender","country","city","affiliation_unified","expertise","expertise_multiple"
"известия высших учебных заведений. поволжский регион. общественные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Юняева Римма Равиловна","юняева римма равиловна"," ","доктор экономических наук","профессор кафедры экономики и финансов","Пензенский государственный университет","Юняева Римма Равиловна___ +++доктор экономических наук---профессор кафедры экономики и финансов===Пензенский государственный университет*** ","regular","f","Россия","Пенза","пензенский государственный университет","экономика",0
"вестник южно-российского государственного технического университета (нпи). серия: социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Юлиус Раманаускас","юлиус раманаускас"," ","Dr. hab.","профессор кафедры менеджмента","Университет имени А. Стуглинскаса","Юлиус Раманаускас___ +++Dr. hab.---профессор кафедры менеджмента===Университет имени А. Стуглинскаса***Каунас, Литва","regular","m","Литва","Каунас","университет имени а. стуглинскаса",NA,NA
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Южанинов К.М.","южанинов к. м."," ","кандидат филос. наук","доцент"," ","Южанинов К.М.___ +++кандидат филос. наук---доцент=== ***Томск, Россия","regular","m","Россия","Томск",NA,"философия",0
"society and security insights","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Юдина Т. Н.","юдина т. н."," ","доктор социологических наук","профессор","Российский государственный социальный университет","Юдина Т. Н.___ +++доктор социологических наук---профессор===Российский государственный социальный университет***Москва, Россия","regular","f","Россия","Москва","российский государственный социальный университет","социология",0
"научное обозрение. серия 2: гуманитарные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Эскиндаров Михаил (Мухадин) Абдурахманович","эскиндаров михаил абдурахманович"," ","доктор экономических наук","профессор, Заслуженный деятель науки РФ, ректор Финансового университета при Правительстве РФ","Финансовый университет при Правительстве РФ","Эскиндаров Михаил (Мухадин) Абдурахманович___ +++доктор экономических наук---профессор, Заслуженный деятель науки РФ, ректор Финансового университета при Правительстве РФ===Финансовый университет при Правительстве РФ***Москва, Россия","regular","m","Россия","Москва","финансовый университет при правительстве рф","экономика",0
"вестник пермского национального исследовательского политехнического университета. социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Эсаулова И. А.","эсаулова и. а."," ","д-р экон. наук","доц.","Перм. нац. исслед. политехн. ун-т","Эсаулова И. А.___ +++д-р экон. наук---доц.===Перм. нац. исслед. политехн. ун-т***Пермь, Россия","regular","f","Россия","Пермь","пермский национальный исследовательский политехнический университет","экономика",0
"научное обозрение. серия 2: гуманитарные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Эрдынеева Клавдия Гомбожаповна","эрдынеева клавдия гомбожаповна"," ","доктор педагогических наук","профессор, академик МАНПО, член-корр. РАЕН, заведующая кафедрой педагогики Забайкальского государственного университета (ЗабГУ)","Забайкальский государственный университет","Эрдынеева Клавдия Гомбожаповна___ +++доктор педагогических наук---профессор, академик МАНПО, член-корр. РАЕН, заведующая кафедрой педагогики Забайкальского государственного университета (ЗабГУ)===Забайкальский государственный университет***Чита, Россия","regular","f","Россия","Чита","забайкальский государственный университет","педагогика",0
"laboratorium: журнал социальных исследований"," РЕДАКЦИОННЫЙ СОВЕТ","Эли Марк","эли марк"," "," "," ","Центр российских, кавказских и центрально-европейских исследований","Эли Марк___ +++ --- ===Центр российских, кавказских и центрально-европейских исследований***Париж","regular","m","Франция","Париж","центр франко-российских исследований",NA,NA
"социология медицины","Редакционная коллегия","Эккерт Наталья Владимировна","эккерт наталья владимировна"," ","доктор медицинских наук","доцент, профессор","ФГАОУ ВО «Первый Московский государственный медицинский университет им. И.М. Сеченова» Минздрава России (Сеченовский Университет)","Эккерт Наталья Владимировна___ +++доктор медицинских наук---доцент, профессор===ФГАОУ ВО «Первый Московский государственный медицинский университет им. И.М. Сеченова» Минздрава России (Сеченовский Университет)***Россия","regular","f","Россия","Москва","сеченовский университет","медицина",0
"демографическое обозрение","МЕЖДУНАРОДНЫЙ РЕДАКЦИОННЫЙ СОВЕТ","Эберштад Николас","эберштад николас"," ","PhD"," ","Американский институт предпринимательства","Эберштад Николас___ +++PhD--- ===Американский институт предпринимательства***США","regular","m","США","Вашингтон","американский институт предпринимательства",NA,NA
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Щетинина Екатерина Даниловна","щетинина екатерина даниловна"," ","доктор экономических наук","профессор, заведующая кафедрой маркетинга","Белгородский государственный технологический университет им. В.Г. Шухова","Щетинина Екатерина Даниловна___ +++доктор экономических наук---профессор, заведующая кафедрой маркетинга===Белгородский государственный технологический университет им. В.Г. Шухова*** ","regular","f","Россия","Белгород","белгородский государственный технологический университет","экономика",0
"демографическое обозрение","МЕЖДУНАРОДНЫЙ РЕДАКЦИОННЫЙ СОВЕТ","Щербов Сергей","щербов сергей"," ","к.т.н."," ","Международный институт прикладного системного анализа","Щербов Сергей___ +++к.т.н.--- ===Международный институт прикладного системного анализа***Австрия","regular","m","Австрия","Лаксенбург","международный институт прикладного системного анализа",NA,NA
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Щербинина Н.Г.","щербинина н. г."," ","доктор полит. наук","профессор"," ","Щербинина Н.Г.___ +++доктор полит. наук---профессор=== ***Томск, Россия","regular","f","Россия","Томск",NA,"политология",0
"дискурс","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Щербина Вячеслав Вячеславович","щербина вячеслав вячеславович"," ","д-р социол. наук","профессор, гл. н. с. центра социологии управления и социальных технологий ИСРАН, заф. каф. социологии организаций и социальных технологий Социологического факультета Российского государственного гуманитарного университета"," Российский государственный гуманитарный университет","Щербина Вячеслав Вячеславович___ +++д-р социол. наук---профессор, гл. н. с. центра социологии управления и социальных технологий ИСРАН, заф. каф. социологии организаций и социальных технологий Социологического факультета Российского государственного гуманитарного университета=== Российский государственный гуманитарный университет***Москва, Россия","regular","m","Россия","Москва","российский государственный гуманитарный университет","социология",0
"социологические исследования","Редакционная коллегия","ЩЕРБИНА В. В.","щербина вячеслав вячеславович"," ","д.социол.н.","проф."," ","ЩЕРБИНА В. В.___ +++д.социол.н.---проф.=== *** ","regular","m","Россия","Москва","российский государственный гуманитарный университет","социология",0
"вестник южно-российского государственного технического университета (нпи). серия: социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Щербакова Лидия Ильинична","щербакова лидия ильинична"," ","доктор социологических наук","профессор кафедры гуманитарных и социальных наук","Южно-Российский государственный политехнический университет (НПИ) имени М. И. Платова","Щербакова Лидия Ильинична___ +++доктор социологических наук---профессор кафедры гуманитарных и социальных наук===Южно-Российский государственный политехнический университет (НПИ) имени М. И. Платова***Новочеркасск, Россия","regular","f","Россия","Новочеркасск","южно-российский государственный политехнический университет","социология",0
"ученые записки крымского федерального университета имени в.и. вернадского. социология. педагогика. психология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Щербакова Л. И.","щербакова лидия ильинична"," ","д-р социол. н.","проф.","ЮРГПУ им. М. И. Платова","Щербакова Л. И.___ +++д-р социол. н.---проф.===ЮРГПУ им. М. И. Платова***Новочеркасск","regular","f","Россия","Новочеркасск","южно-российский государственный политехнический университет","социология",0
"социология медицины","Редакционный совет","Щепин Владимир Олегович","щепин владимир олегович"," ","доктор медицинских наук","профессор, член-корреспондент РАН, главный научный сотрудник, руководитель научного направления","ФГБНУ «Национальный НИИ общественного здоровья имени Н.А. Семашко» ","Щепин Владимир Олегович___ +++доктор медицинских наук---профессор, член-корреспондент РАН, главный научный сотрудник, руководитель научного направления===ФГБНУ «Национальный НИИ общественного здоровья имени Н.А. Семашко» ***Россия","regular","m","Россия","Москва","национальный научно-исследовательский институт общественного здоровья имени н. а. семашко","медицина",0
